,id,channel_sales,cons_gas_12m,date_activ,date_end,date_modif_prod,date_renewal,forecast_discount_energy,forecast_meter_rent_12m,forecast_price_energy_p1,forecast_price_energy_p2,forecast_price_pow_p1,has_gas,nb_prod_act,net_margin,num_years_antig,origin_up,pow_max,cons_combined,forecast_cons_combined,margins_combined_ele,churn
0,48ada52261e7cf58715202705a0451c9,lmkebamcaaclubfxadlmueccxoimlema,0,2012-11-07,2016-11-06,2012-11-07,2015-11-09,0.0,359.29,0.095919,0.08834700000000001,58.99595196,f,1,1732.36,3,ldkssxwpmemidmecebumciepifcamkci,180.0,319300,37377.1,-83.52,0
1,24011ae4ebbe3035111d65fa7c15bc57,foosdfpfkusacimwkcsosbicdxkicaua,54946,2013-06-15,2016-06-15,2015-11-01,2015-06-23,0.0,1.78,0.114481,0.098142,40.606701,t,2,678.99,3,lxidpiddsbxsbosboudacockeimpuepw,43.648,0,0.0,50.88,1
2,d29c2c54acc38ff3c0614d0a653813dd,foosdfpfkusacimwkcsosbicdxkicaua,0,2009-08-21,2016-08-30,2009-08-21,2015-08-31,0.0,16.27,0.14571099999999998,0.0,44.31137796,f,1,18.89,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.8,4660,189.95,32.76,0
3,764c75f661154dac3a6c254cd082ea7d,foosdfpfkusacimwkcsosbicdxkicaua,0,2010-04-16,2016-04-16,2010-04-16,2015-04-17,0.0,38.72,0.165794,0.087899,44.31137796,f,1,6.6,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,544,47.96,57.2,0
4,bba03439a292a1e166f80264c16191cb,lmkebamcaaclubfxadlmueccxoimlema,0,2010-03-30,2016-03-30,2010-03-30,2015-03-31,0.0,19.83,0.14669400000000002,0.0,44.31137796,f,1,25.46,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,1584,240.04,60.44,0
5,568bb38a1afd7c0fc49c77b3789b59a3,foosdfpfkusacimwkcsosbicdxkicaua,0,2010-04-08,2016-04-08,2010-04-08,2015-04-12,0.0,170.74,0.11008299999999999,0.09374600000000001,40.606701,f,1,823.18,6,lxidpiddsbxsbosboudacockeimpuepw,75.0,133735,24317.39,-6.36,0
6,149d57cf92fc41cf94415803a877cb4b,foosdfpfkusacimwkcsosbicdxkicaua,0,2010-01-13,2016-03-07,2010-01-13,2015-03-09,0.0,131.73,0.1169,0.10001499999999999,40.606701,f,1,47.98,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,19.8,4951,1024.07,89.82,0
7,1aa498825382410b098937d65c4ec26d,usilxuppasemubllopkaafesmlibmsdf,0,2011-12-09,2016-12-09,2015-11-01,2015-12-10,0.0,30.12,0.164775,0.086131,45.30837756,f,1,118.89,4,lxidpiddsbxsbosboudacockeimpuepw,13.2,10300,2976.15,66.24,1
8,7ab4bf4878d8f7661dfc20e9b8e18011,foosdfpfkusacimwkcsosbicdxkicaua,0,2011-12-02,2016-12-02,2011-12-02,2015-12-03,0.0,0.0,0.166178,0.087538,44.31137796,f,1,346.63,4,lxidpiddsbxsbosboudacockeimpuepw,15.0,45097,8069.28,8.08,1
9,01495c955be7ec5e7f3203406785aae0,foosdfpfkusacimwkcsosbicdxkicaua,0,2010-04-21,2016-04-21,2010-04-21,2015-04-22,0.0,144.49,0.115174,0.098837,40.606701,f,1,100.09,6,lxidpiddsbxsbosboudacockeimpuepw,26.4,30812,1686.3600000000001,107.84,0
10,f53a254b1115634330c12c7fdbf7958a,usilxuppasemubllopkaafesmlibmsdf,0,2011-09-23,2016-09-23,2011-09-23,2015-09-25,0.0,15.85,0.14571099999999998,0.0,44.31137796,f,1,42.59,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,2962,444.38,25.64,0
11,10c1b2f97a2d2a6f10299dc213d1a370,lmkebamcaaclubfxadlmueccxoimlema,0,2010-05-04,2016-05-04,2015-04-29,2015-05-05,0.0,130.43,0.11576099999999999,0.09941900000000001,40.606701,f,1,329.6,6,lxidpiddsbxsbosboudacockeimpuepw,31.5,28252,5145.6900000000005,66.84,0
12,d5e512dbc8118a830a7b8c7f61d89992,usilxuppasemubllopkaafesmlibmsdf,0,2011-07-11,2016-07-11,2011-07-11,2015-07-12,0.0,20.94,0.16463699999999998,0.087381,44.31137796,f,1,108.5,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,11.5,13943,4666.0599999999995,29.04,0
13,6ee77a019251bcc304c88167e0dfcb4c,foosdfpfkusacimwkcsosbicdxkicaua,0,2009-11-26,2016-11-26,2009-11-26,2015-11-27,0.0,20.5,0.16708599999999998,0.08844400000000001,46.30537836,f,1,18.41,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392000000000001,6931,3359.37,42.18,0
14,2c05848e1a577dd041ea6804bbf5bbf5,foosdfpfkusacimwkcsosbicdxkicaua,1542867,2011-09-01,2016-10-30,2013-10-30,2015-11-01,0.0,145.81,0.11523699999999999,0.100123,40.606701,t,2,533.46,4,lxidpiddsbxsbosboudacockeimpuepw,16.5,51401,10306.11,11.04,0
15,21860c2ff2d5df75503b230ce629c253,foosdfpfkusacimwkcsosbicdxkicaua,0,2013-01-22,2017-01-22,2015-11-18,2016-01-24,0.0,74.66,0.162327,0.084428,44.31137796,f,1,89.02,3,ldkssxwpmemidmecebumciepifcamkci,13.2,7726,914.1,66.24,0
16,227254ed8be1393d5e37e6dc9c3f359b,lmkebamcaaclubfxadlmueccxoimlema,0,2012-11-01,2016-10-31,2015-09-18,2015-11-01,0.0,0.0,0.098925,0.09135,58.99595196,f,1,140.26,3,ldkssxwpmemidmecebumciepifcamkci,10.0,63793,5569.26,-4.16,0
17,c5037389dd8be351d3c40f2973da2391,foosdfpfkusacimwkcsosbicdxkicaua,0,2010-12-01,2016-12-01,2010-12-01,2015-12-02,0.0,15.37,0.168242,0.089602,45.30837756,f,1,111.59,5,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.856,9707,1028.52,31.56,0
18,e4773b60d2e68aac94795782abfc006b,lmkebamcaaclubfxadlmueccxoimlema,0,2012-04-20,2016-04-20,2012-04-20,2015-04-21,0.0,16.08,0.144902,0.0,44.31137796,f,1,130.14,4,ldkssxwpmemidmecebumciepifcamkci,10.392000000000001,50180,2925.8199999999997,38.56,0
19,bd14bbac3aca710ee5288fcd8511d4bb,foosdfpfkusacimwkcsosbicdxkicaua,80583,2010-02-15,2016-02-15,2010-02-15,2015-02-16,0.0,16.6,0.16405799999999998,0.086163,44.31137796,t,2,1087.76,6,lxidpiddsbxsbosboudacockeimpuepw,11.4,872419,39400.880000000005,51.36,0
20,4e4a34a6d91ff25d0fdf68733907ad44,foosdfpfkusacimwkcsosbicdxkicaua,0,2011-08-01,2016-07-25,2014-07-25,2015-07-27,0.0,118.24,0.11285999999999999,0.09652100000000001,40.606701,f,1,335.78,5,lxidpiddsbxsbosboudacockeimpuepw,25.0,30776,3045.16,38.58,0
21,f2b93783adecf0d0d8d60ab547bda3de,foosdfpfkusacimwkcsosbicdxkicaua,0,2011-05-27,2016-05-27,2011-05-27,2015-05-31,0.0,141.79,0.115174,0.098837,40.606701,f,1,117.44,5,ldkssxwpmemidmecebumciepifcamkci,15.001,27715,1965.7099999999998,43.14,0
22,47e976c5d7f1ee1fee6d60ca39fd0218,foosdfpfkusacimwkcsosbicdxkicaua,0,2012-05-28,2016-05-28,2012-05-28,2015-05-31,0.0,18.31,0.14571099999999998,0.0,44.31137796,f,1,19.07,4,lxidpiddsbxsbosboudacockeimpuepw,13.0,15411,194.42,47.94,0
23,db6ac41fb6972374f28bc6f8e43b9764,foosdfpfkusacimwkcsosbicdxkicaua,0,2009-10-01,2016-10-01,2009-10-01,2015-10-03,0.0,131.77,0.11523699999999999,0.100123,40.606701,t,2,203.35,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,19.8,18690,3784.46,13.2,0
24,bee0c7e972180fbee50c2ea15b12965c,foosdfpfkusacimwkcsosbicdxkicaua,0,2011-03-04,2016-03-04,2011-03-04,2015-03-09,0.0,129.95,0.11863599999999999,0.10175,40.606701,f,1,316.53,5,lxidpiddsbxsbosboudacockeimpuepw,35.0,31086,7274.629999999999,94.7,0
25,78014630fbac3e6aa980361d25cea748,usilxuppasemubllopkaafesmlibmsdf,0,2012-12-31,2016-12-31,2015-11-01,2016-01-01,0.0,0.0,0.14241700000000002,0.0,44.31137796,f,1,255.96,3,lxidpiddsbxsbosboudacockeimpuepw,11.0,24364,7390.71,8.28,0
26,050706fa01538720da274cbeb6e1f983,foosdfpfkusacimwkcsosbicdxkicaua,0,2013-04-04,2016-04-04,2015-11-24,2015-04-05,0.9915466499686914,110.78,0.13590059479022848,0.05295074349405335,43.533495800829066,f,1,291.78,3,lxidpiddsbxsbosboudacockeimpuepw,17.320999999999998,21097,2257.99,51.84,1
27,5789c446141a44a9b405db35682f6eb5,foosdfpfkusacimwkcsosbicdxkicaua,0,2013-02-27,2016-02-27,2015-12-16,2015-03-09,0.0,16.42,0.160302,0.082403,44.31137796,f,2,123.87,3,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392000000000001,12157,1418.81,46.8,0
28,ed5bc499fecb8eee257857fd286ebd65,foosdfpfkusacimwkcsosbicdxkicaua,0,2009-12-07,2016-12-07,2015-11-01,2015-12-08,0.0,19.51,0.143478,0.0,44.31137796,f,1,150.7,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,13.2,13122,1932.42,7.12,0
29,389bbbe70248fbeecdf9bb1bd0d1da04,foosdfpfkusacimwkcsosbicdxkicaua,0,2010-11-17,2016-11-17,2010-11-17,2015-11-18,0.0,145.98,0.11523699999999999,0.100123,41.1052014,f,1,38.76,5,lxidpiddsbxsbosboudacockeimpuepw,23.1,3906,734.44,115.44,1
30,31615bef53242dfedeaf275214044ca1,foosdfpfkusacimwkcsosbicdxkicaua,0,2010-07-12,2016-07-12,2010-07-12,2015-07-14,0.0,15.98,0.14571099999999998,0.0,44.31137796,f,1,38.62,6,ldkssxwpmemidmecebumciepifcamkci,10.392000000000001,2632,394.83,29.28,0
31,74ff037708f036de5745ce34d8d9d4df,foosdfpfkusacimwkcsosbicdxkicaua,0,2011-12-12,2016-12-12,2015-11-01,2015-12-14,0.0,0.0,0.144039,0.0,45.80687796,f,1,60.0,4,lxidpiddsbxsbosboudacockeimpuepw,12.5,4792,719.4,38.84,0
32,7287dad2f1f535d03435ea7c78b557c4,foosdfpfkusacimwkcsosbicdxkicaua,0,2009-10-01,2016-10-01,2009-10-01,2015-10-02,0.0,132.16,0.11523699999999999,0.100123,40.9390266,f,1,94.01,6,kamkkxfxxuwbdslkwifmmcsiusiuosws,15.01,9050,2070.63,40.0,0
33,26c7bba7d51f86a16109de505bcd4f52,lmkebamcaaclubfxadlmueccxoimlema,41883,2010-09-20,2016-09-20,2010-09-20,2015-09-23,0.0,99.05,0.11523699999999999,0.100123,40.606701,t,2,487.42,5,ldkssxwpmemidmecebumciepifcamkci,29.0,2021311,3074.16,86.88,0
34,44e826a55734d0ca5eeafcae0e991a75,foosdfpfkusacimwkcsosbicdxkicaua,0,2009-07-07,2016-07-07,2015-05-23,2015-07-09,0.0,1.08,0.14317,0.0,44.31137796,f,2,1.27,7,ldkssxwpmemidmecebumciepifcamkci,13.2,324,8.32,37.24,1
35,4bffd9d74bfb770ef7763e8e4e88dfc3,usilxuppasemubllopkaafesmlibmsdf,0,2011-12-14,2016-08-06,2015-08-06,2015-01-05,30.0,19.6,0.198096,0.0,46.30537836,f,2,19.0,4,kamkkxfxxuwbdslkwifmmcsiusiuosws,10.392000000000001,2103,355.17,55.92,0
36,2d9d0546d83c60ed3d5728d744d65c40,usilxuppasemubllopkaafesmlibmsdf,0,2012-07-03,2016-07-03,2013-10-31,2015-07-04,0.0,17.55,0.14316600000000002,0.0,44.31137796,f,1,243.99,4,lxidpiddsbxsbosboudacockeimpuepw,13.856,19593,2886.5,34.9,0
37,79d29481ee261caf08387bcef9e4346d,usilxuppasemubllopkaafesmlibmsdf,0,2012-10-10,2016-10-10,2014-06-26,2015-10-11,0.0,129.97,0.11650899999999999,0.101397,40.606701,f,1,477.42,3,lxidpiddsbxsbosboudacockeimpuepw,30.45,45973,8678.970000000001,20.32,0
